a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,10,741,2741,1,0,1,ch_thebrink,CHALLENGE_THE_BRINK,CHALLENGE_GET_A_3_OR_MORE_KILL,250,,,,b,1
2,12,742,2742,1,0,1,ch_collateraldamage,CHALLENGE_COLLATERAL_DAMAGE,CHALLENGE_KILL_2_OR_MORE_ENEMIES4,250,,,,c,1
3,7,743,2743,1,0,3,ch_theedge_1,CHALLENGE_THE_EDGE_I,CHALLENGE_GET_THE_LAST_KILL_IN,50,,,,b,1
4,,,2743,5,1,3,ch_theedge_2,CHALLENGE_THE_EDGE_II,CHALLENGE_GET_THE_LAST_KILL_IN1,100,,,,,1
5,,,2743,10,5,3,ch_theedge_3,CHALLENGE_THE_EDGE_III,CHALLENGE_GET_THE_LAST_KILL_IN2,250,,,,,1
6,13,744,2744,1,0,1,ch_flawless,CHALLENGE_FLAWLESS,CHALLENGE_PLAY_AN_ENTIRE_FULLLENGTH,250,,,,d,1
7,9,745,2745,1,0,1,ch_tangodown,CHALLENGE_TANGO_DOWN,CHALLENGE_KILL_EVERY_MEMBER_OF,250,,,,b,1
8,1,746,2746,1,0,1,ch_hardlanding,CHALLENGE_HARD_LANDING,CHALLENGE_KILL_AN_ENEMY_THAT_IS1,250,,,,a,1
9,11,747,2747,1,0,1,ch_extremecruelty,CHALLENGE_EXTREME_CRUELTY,CHALLENGE_KILL_EVERY_MEMBER_OF1,250,,,,c,1
10,2,748,2748,1,0,1,ch_fastswap,CHALLENGE_FAST_SWAP,CHALLENGE_HURT_AN_ENEMY_WITH_A,250,,,,a,1
11,3,749,2749,1,0,1,ch_starplayer,CHALLENGE_STAR_PLAYER,CHALLENGE_PLAY_AN_ENTIRE_MATCH,250,,,,a,1
12,4,750,2750,1,0,1,ch_howthe,CHALLENGE_HOW_THE_,CHALLENGE_KILL_AN_ENEMY_BY_USING,250,,,,a,1
13,5,751,2751,1,0,1,ch_dominos,CHALLENGE_DOMINOS,CHALLENGE_KILL_AN_ENEMY_BY_SETTING,250,,,,a,1
14,17,752,2752,1,0,1,ch_nosecrets,CHALLENGE_NO_SECRETS,CHALLENGE_CALL_IN_A_UAV_3_TIMES,250,,,,f,1
15,19,753,2753,1,0,1,ch_rabid,CHALLENGE_RABID,CHALLENGE_CALL_IN_DOGS_2_TIMES,250,,,,f,1
16,18,754,2754,1,0,1,ch_heavyartillary,CHALLENGE_HEAVYARTILLARY,CHALLENGE_CALL_IN_ARTILLARY_2_TIMES,250,,,,f,1
17,15,755,2755,1,0,1,ch_fearless,CHALLENGE_FEARLESS,CHALLENGE_KILL_10_ENEMIES_IN_A,250,,,,e,1
18,16,756,2756,1,0,1,ch_countermvp,CHALLENGE_COUNTERMVP,CHALLENGE_KILL_THE_1_PLAYER_ON,250,,,,e,1
19,6,757,2757,1,0,1,ch_invincible,CHALLENGE_INVINCIBLE,CHALLENGE_GET_5_HEALTH_REGENERATIONS,250,,,,a,1
20,14,758,2758,1,0,1,ch_survivalist,CHALLENGE_SURVIVALIST,CHALLENGE_SURVIVE_FOR_5_CONSECUTIVE,250,,,,d,1
21,8,759,2759,1,0,1,ch_desperado,CHALLENGE_DESPERADO,CHALLENGE_KILL_WITH_LAST_BULLET_IN_CLIP,250,,,,b,1
